State,Births,Fertility_Rate,Deaths,Death_Rate
Alabama,57761,60.90,53238,1092.10
Alaska,10086,69.30,4411,596.20
Arizona,80723,58.60,57758,823.20
Arkansas,37018,64.00,32588,1084.70
California,454920,56.20,268189,678.30
Colorado,62885,54.10,38063,678.80
Connecticut,34725,51.80,31312,872.60
Delaware,10621,59.10,9178,954.10
District of Columbia,9212,48.80,4965,715.40
Florida,221542,57.20,203636,970.40
Georgia,126172,58.30,83098,796.80
Hawaii,16972,64.20,11390,797.90
Idaho,21403,63.40,14011,816.00
Illinois,144815,57.50,109721,857.10
Indiana,81646,62.80,65597,983.90
Iowa,37785,63.50,30530,970.50
Kansas,36261,64.70,27063,929.00
Kentucky,53922,63.50,48212,1082.40
Louisiana,59615,64.30,45804,977.80
Maine,12311,53.30,14676,1098.60
Maryland,71080,59.90,49926,824.90
Massachusetts,69109,49.50,58803,857.20
Michigan,110032,58.50,97602,979.70
Minnesota,67344,62.70,44371,795.70
Mississippi,37000,62.80,32280,1081.70
Missouri,73269,62.40,31876,1012.10
Montana,11513,59.60,10200,971.00
Nebraska,25488,68.40,16878,879.00
Nevada,35682,60.00,24657,822.40
New Hampshire,11995,49.10,12504,931.20
New Jersey,101223,60.10,74846,831.10
New Mexico,23039,58.00,18673,894.30
New York,226238,57.90,155358,782.70
North Carolina,118954,58.40,93157,906.80
North Dakota,10636,72.20,6415,849.20
Ohio,135134,61.10,123648,1060.60
Oklahoma,49800,64.60,40452,1029.10
Oregon,42188,51.40,36624,884.00
Pennsylvania,135673,56.90,135656,1059.40
Rhode Island,10506,50.50,10157,958.50
South Carolina,56669,58.10,49441,984.00
South Dakota,11893,73.60,7996,919.40
Tennessee,80751,61.10,70096,1043.70
Texas,378624,63.40,198106,699.90
Utah,47209,68.40,18035,581.40
Vermont,5432,47.20,6007,963.20
Virginia,99843,59.10,68579,809.70
Washington,86085,57.50,56995,769.60
West Virginia,18248,57.20,23276,1281.80
Wisconsin,64098,58.90,52681,909.00
Wyoming,6562,61.00,4768,823.00
